"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\core clock (mhz)","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\core clock (mhz)"
"02/17/2014 17:32:55.504","0","1147"
"02/17/2014 17:33:06.457","0","1147"
"02/17/2014 17:33:17.379","0","1147"
"02/17/2014 17:33:28.442","0","1147"
"02/17/2014 17:33:39.348","0","1147"
"02/17/2014 17:33:50.208","0","1147"
"02/17/2014 17:34:01.114","0","1147"
"02/17/2014 17:34:11.974","0","1147"
"02/17/2014 17:34:22.911","0","1147"
"02/17/2014 17:34:33.818","0","1147"
"02/17/2014 17:34:44.709","0","1147"
"02/17/2014 17:34:55.631","0","1147"
"02/17/2014 17:35:06.553","0","1147"
"02/17/2014 17:35:17.490","0","1147"
"02/17/2014 17:35:28.381","0","1147"
"02/17/2014 17:35:39.241","0","1147"
"02/17/2014 17:35:50.163","0","1147"
"02/17/2014 17:36:01.179","0","1147"
"02/17/2014 17:36:12.319","0","1147"
"02/17/2014 17:36:23.179","0","1147"
"02/17/2014 17:36:34.101","0","1147"
"02/17/2014 17:36:45.070","0","1147"
"02/17/2014 17:36:56.023","0","1147"
"02/17/2014 17:37:06.914","0","1147"
"02/17/2014 17:37:17.820","0","1147"
"02/17/2014 17:37:28.696","0","1147"
"02/17/2014 17:37:39.789","0","1147"
"02/17/2014 17:37:50.758","0","1147"
"02/17/2014 17:38:01.899","0","1147"
"02/17/2014 17:38:12.852","0","1147"
"02/17/2014 17:38:23.774","0","1147"
"02/17/2014 17:38:34.697","0","1147"
"02/17/2014 17:38:45.634","0","1147"
"02/17/2014 17:38:56.556","0","1147"
"02/17/2014 17:39:07.447","0","1147"
"02/17/2014 17:39:18.369","0","1147"
"02/17/2014 17:39:29.291","0","1147"
"02/17/2014 17:39:40.229","0","1147"
"02/17/2014 17:39:51.151","0","1147"
"02/17/2014 17:40:02.026","0","1147"
"02/17/2014 17:40:12.979","0","1147"
"02/17/2014 17:40:23.886","0","1147"
"02/17/2014 17:40:34.808","0","1147"
"02/17/2014 17:40:45.730","0","1147"
"02/17/2014 17:40:56.652","0","1147"
"02/17/2014 17:41:07.543","0","1147"
"02/17/2014 17:41:18.496","0","1147"
"02/17/2014 17:41:29.543","0","1147"
"02/17/2014 17:41:40.481","0","1147"
"02/17/2014 17:41:51.371","0","1147"
"02/17/2014 17:42:02.262","0","1147"
"02/17/2014 17:42:13.184","0","1147"
"02/17/2014 17:42:24.122","0","1147"
"02/17/2014 17:42:35.013","0","1147"
"02/17/2014 17:42:45.935","0","1147"
"02/17/2014 17:42:56.841","0","540"
